Contig ID,Size,Prev_ech1,Prev_ech2,Prev1 F ENV RPKM,Prev2 F ENV RPKM
Prev_v1_contig_10202,2304,3229,4015,23.03772332,24.09939381
Prev_v1_contig_10203,208,160,333,7.925892855,13.8778281
Prev_v1_contig_10204,353,2796,2393,56.66112722,40.7980868
Prev_v1_contig_10205,2574,52,67,0.969726823,1.051162656
Prev_v1_contig_10206,2067,54,80,1.697083083,2.115185143
Prev_v1_contig_10207,499,1430,1630,20.29176705,19.45899878
Prev_v1_contig_10208,320,262,8,12.49437158,0.32096093
Prev_v1_contig_10209,311,954,1247,11.65640452,12.81833877
Prev_v1_contig_1021,819,4665,6060,24.15763489,26.4012473
Prev_v1_contig_10210,1204,2539,2220,24.10824306,17.73392596
Prev_v1_contig_10211,2678,3272,3971,55.60878098,56.77786041
Prev_v1_contig_10212,858,310,371,24.06045966,24.22507843
Prev_v1_contig_10213,424,86,188,5.104287268,9.387361927
Prev_v1_contig_10214,435,240,462,8.848040005,14.32936243
Prev_v1_contig_10215,367,1006,1337,13.26394626,14.83048098
Prev_v1_contig_10216,1201,603,861,36.35208889,43.66809705
Prev_v1_contig_10217,335,64,31,2.616051629,1.066048802
Prev_v1_contig_10218,503,873,862,45.35519694,37.6763771
Prev_v1_contig_10219,780,507,1030,4.630572628,7.914309346
Prev_v1_contig_1022,2554,1771,2989,40.4183383,57.38982023
Prev_v1_contig_10220,278,1156,1345,12.19669283,11.93866023
Prev_v1_contig_10221,276,829,1262,20.55957894,26.33104506
Prev_v1_contig_10222,1500,352,656,9.894582371,15.51342534
Prev_v1_contig_10223,546,4342,5237,65.33705732,66.29814563
Prev_v1_contig_10224,769,301,396,4.886026043,5.40796066
Prev_v1_contig_10225,2386,1015,1247,10.26282418,10.60758098
Prev_v1_contig_10226,373,3140,3626,48.70239927,47.31486054
Prev_v1_contig_10227,505,1068,1170,25.30823804,23.3252107
Prev_v1_contig_10228,421,71,66,5.022595895,3.927922226
Prev_v1_contig_10229,2082,1275,1665,19.82377171,21.7790733
Prev_v1_contig_1023,847,20505,18143,150.381139,111.9416625
Prev_v1_contig_10230,1218,831,968,38.76130421,37.98584316
Prev_v1_contig_10231,1588,711,1094,10.68213607,13.82785711
Prev_v1_contig_10232,455,953,1072,13.57334914,12.84511394
Prev_v1_contig_10233,869,241,335,6.609658878,7.72957947
Prev_v1_contig_10234,1752,1565,2918,14.30721458,22.4426994
Prev_v1_contig_10235,2137,3685,4510,22.59892069,23.26889734
Prev_v1_contig_10236,979,3256,2758,70.134801,49.97956715
Prev_v1_contig_10237,397,1552,1761,13.53640091,12.92170742
Prev_v1_contig_10238,436,1344,2102,15.29109347,20.11967874
Prev_v1_contig_10239,606,1673,2114,19.21669883,20.42851894
Prev_v1_contig_1024,720,155,133,3.372834016,2.434803783
Prev_v1_contig_10240,1156,1415,2025,9.643304651,11.61030238
Prev_v1_contig_10241,595,2161,2797,26.74499547,29.12254225
Prev_v1_contig_10242,503,883,1254,16.87714377,20.16437841
Prev_v1_contig_10243,383,3069,4103,42.78912146,48.12680756
Prev_v1_contig_10244,1033,1638,1633,44.5414099,37.35814497
Prev_v1_contig_10245,332,1789,2188,44.25351965,45.53379527
Prev_v1_contig_10246,4801,2103,2735,25.04105235,27.39805228
Prev_v1_contig_10247,1237,282,243,15.40214371,11.16573696
Prev_v1_contig_10248,652,360,378,6.337439122,5.598248281
Prev_v1_contig_10249,484,21,26,1.265993145,1.318664952
Prev_v1_contig_1025,1563,12800,22483,325.4451496,480.9181303
Prev_v1_contig_10250,2514,1768,2257,11.61545302,12.47482629
Prev_v1_contig_10251,609,7085,5807,78.15005031,53.88777961
Prev_v1_contig_10252,391,145,157,5.166838727,4.706581811
Prev_v1_contig_10253,233,671,1325,15.55450483,25.84036263
Prev_v1_contig_10254,877,163,142,14.60202241,10.70194726
Prev_v1_contig_10255,720,494,761,22.07541294,28.60985126
Prev_v1_contig_10256,275,1802,1851,16.51323974,14.27029575
Prev_v1_contig_10257,280,1266,1412,35.17416483,33.00455194
Prev_v1_contig_10258,2265,1520,1632,10.7645161,9.723444373
Prev_v1_contig_10259,329,1163,1665,10.72418766,12.91659326
Prev_v1_contig_1026,877,7098,6602,76.44607148,59.81963421
Prev_v1_contig_10260,267,162,247,3.470013454,4.451046725
Prev_v1_contig_10261,423,1433,1938,34.296741,39.02199707
Prev_v1_contig_10262,1123,1209,1408,17.25796038,16.90888138
Prev_v1_contig_10263,2148,957,1256,10.21515086,11.27902456
Prev_v1_contig_10264,927,2832,2999,27.33714676,24.35484988
Prev_v1_contig_10265,1508,3166,1780,152.1168047,71.95075276
Prev_v1_contig_10266,541,1790,1241,38.42737792,22.41344212
Prev_v1_contig_10267,414,977,1162,27.3428117,27.35922506
Prev_v1_contig_10268,442,3532,5177,27.29185845,33.65422826
Prev_v1_contig_10269,3517,599,850,12.06227022,14.400256
Prev_v1_contig_1027,273,44,40,1.35178389,1.033864533
Prev_v1_contig_10270,633,2506,2989,50.3056627,50.47900418
Prev_v1_contig_10271,2600,89,50,2.159743098,1.02077764
Prev_v1_contig_10272,722,95,128,3.701669853,4.195977032
Prev_v1_contig_10273,740,1831,1979,33.08355266,30.08282696
Prev_v1_contig_10274,3144,651,855,11.80715272,13.04605974
Prev_v1_contig_10275,252,1789,2230,10.08126917,10.57203979
Prev_v1_contig_10276,472,375,550,8.941582716,11.03303196
Prev_v1_contig_10277,213,1160,1241,6.163545975,5.547451168
Prev_v1_contig_10278,317,548,519,24.43156473,19.46646699
Prev_v1_contig_10279,1229,1330,1312,11.37755553,9.442352597
Prev_v1_contig_1028,1837,242,279,2.525488464,2.449532931
Prev_v1_contig_10280,3200,588,719,13.1379988,13.51542908
Prev_v1_contig_10281,495,2106,1849,72.35413359,53.44301458
Prev_v1_contig_10282,286,570,569,18.84022311,15.82240542
Prev_v1_contig_10283,206,3231,4713,23.312271,28.60843631
Prev_v1_contig_10284,330,881,1137,49.24033148,53.4631545
Prev_v1_contig_10285,332,495,499,7.477953432,6.342013452
Prev_v1_contig_10286,346,365,371,15.68906944,13.41613088
Prev_v1_contig_10287,971,2767,2249,52.57232359,35.94897604
Prev_v1_contig_10288,657,2186,2753,14.42094522,15.27913741
Prev_v1_contig_10289,884,2830,3448,50.32767344,51.5865794
Prev_v1_contig_1029,305,2582,3738,11.42633544,13.91679034
Prev_v1_contig_10290,3167,1871,2035,25.0828528,22.95179263
Prev_v1_contig_10291,1538,1362,1089,11.70877402,7.876100553
Prev_v1_contig_10292,337,227,119,4.71480066,2.079378244
Prev_v1_contig_10293,402,1163,2066,8.366073598,12.50320464
Prev_v1_contig_10294,292,7164,7540,87.25494089,77.26002658
Prev_v1_contig_10295,297,213,234,7.138759549,6.597935474
Prev_v1_contig_10296,423,947,1365,50.99635791,61.84020047
Prev_v1_contig_10297,665,147,192,6.193628003,6.805782526
Prev_v1_contig_10298,1932,1623,2362,19.18257255,23.48644465
Prev_v1_contig_10299,1145,104,126,7.668301338,7.81601587
Prev_v1_contig_103,2461,1329,1513,13.42356754,12.85674278
Prev_v1_contig_1030,580,11456,14949,108.0276194,118.5940768
Prev_v1_contig_10300,497,1719,1971,14.24136776,13.73762019
Prev_v1_contig_10301,802,2549,4300,39.98874818,56.75256373
Prev_v1_contig_10302,3103,53,62,4.682257729,4.608081919
Prev_v1_contig_10303,859,1167,1257,18.81603798,17.05067822
Prev_v1_contig_10304,579,1029,1366,25.68581405,28.68650996
Prev_v1_contig_10305,375,680,832,5.35144182,5.508511719
Prev_v1_contig_10306,1344,948,1302,10.47485543,12.10318692
Prev_v1_contig_10307,713,3041,4638,35.504422,45.55602545
Prev_v1_contig_10308,771,744,684,5.635338004,4.358651961
Prev_v1_contig_10309,1260,178,132,8.488542525,5.295855339
