Contig ID,Size,Pcos_ech1,Pcos_ech2,Pcos1 F ENV RPKM,Pcos2 F ENV RPKM
Pcos_v1_contig_10144,2767,1417,653,11.37930459,5.30611383
Pcos_v1_contig_10145,469,6357,1923,301.1857359,92.18897405
Pcos_v1_contig_10146,674,2119,1369,69.85959947,45.66843109
Pcos_v1_contig_10147,2022,263,473,2.890211524,5.259597737
Pcos_v1_contig_10148,2219,2598,1233,26.01578146,12.49333297
Pcos_v1_contig_10149,366,0,0,0,0
Pcos_v1_contig_1015,3067,2625,1541,19.01825048,11.29695511
Pcos_v1_contig_10150,389,495,1236,28.27552184,71.43999406
Pcos_v1_contig_10151,1870,1109,1316,13.17786247,15.82292695
Pcos_v1_contig_10152,718,259,69,8.015495064,2.160713507
Pcos_v1_contig_10153,302,11,3,0.809358204,0.22335046
Pcos_v1_contig_10154,2165,2203,1532,22.61057608,15.91011816
Pcos_v1_contig_10155,571,315,568,12.25827829,22.36581703
Pcos_v1_contig_10156,242,223,318,20.47597206,29.54502041
Pcos_v1_contig_10157,1259,3727,2742,65.77921613,48.96821358
Pcos_v1_contig_10158,481,321,252,14.8291066,11.77953114
Pcos_v1_contig_10159,1746,541,619,6.885065194,7.971112709
Pcos_v1_contig_1016,4241,32912,23337,172.4411987,123.7226729
Pcos_v1_contig_10160,1641,2423,1839,32.80951906,25.19681739
Pcos_v1_contig_10161,713,1022,2715,31.85051046,85.61558813
Pcos_v1_contig_10162,466,820,565,39.10055905,27.26057873
Pcos_v1_contig_10163,422,136,229,7.161128859,12.20100406
Pcos_v1_contig_10164,355,150,151,9.388969693,9.563594081
Pcos_v1_contig_10165,1265,2617,1662,45.96933575,29.54017299
Pcos_v1_contig_10166,1529,1257,445,18.26765594,6.543725393
Pcos_v1_contig_10167,1155,392,248,7.541523939,4.827721814
Pcos_v1_contig_10168,906,1718,1096,42.13567863,27.19912274
Pcos_v1_contig_10169,631,55,34,1.936815988,1.211496317
Pcos_v1_contig_1017,1971,4158,835,46.87625325,9.525162457
Pcos_v1_contig_10170,2627,960,1076,8.120190004,9.209260096
Pcos_v1_contig_10171,874,1124,517,28.57655749,13.3000003
Pcos_v1_contig_10172,2939,1614,2148,12.20278545,16.43263585
Pcos_v1_contig_10173,450,28,6,1.382612722,0.299785951
Pcos_v1_contig_10174,290,39,26,2.988282423,2.015802087
Pcos_v1_contig_10175,3257,4004,3953,27.31689551,27.28862141
Pcos_v1_contig_10176,1766,771,667,9.701049263,8.491954822
Pcos_v1_contig_10177,134,102,18,16.91415883,3.020231599
Pcos_v1_contig_10178,3317,2170,3896,14.536816,26.40863882
Pcos_v1_contig_10179,1952,461,1347,5.247786322,15.51530519
Pcos_v1_contig_1018,1270,5101,8639,89.24967303,152.9439469
Pcos_v1_contig_10180,915,1191,498,28.92315724,12.23716424
Pcos_v1_contig_10181,1664,1294,810,17.27969154,10.94470946
Pcos_v1_contig_10182,1068,75,138,1.560432697,2.905229023
Pcos_v1_contig_10183,3853,2132,3182,12.29541587,18.5683668
Pcos_v1_contig_10184,2551,1235,768,10.75750434,6.768981104
Pcos_v1_contig_10185,1387,2301,836,36.86338302,13.55196766
Pcos_v1_contig_10186,1846,702,2895,8.450072723,35.26057675
Pcos_v1_contig_10187,428,421,66,21.85714121,3.467150605
Pcos_v1_contig_10188,353,27,78,1.699589698,4.968124123
Pcos_v1_contig_10189,287,0,31,0,2.428579571
Pcos_v1_contig_1019,1562,1028,958,14.62403158,13.78976991
Pcos_v1_contig_10190,680,440,116,14.37801045,3.83549673
Pcos_v1_contig_10191,1329,1,116,0.01671976,1.962481397
Pcos_v1_contig_10192,1784,3367,2963,41.93757339,37.34301179
Pcos_v1_contig_10193,1118,1010,435,20.0740315,8.748225995
Pcos_v1_contig_10194,2480,326,323,2.920928663,2.92835269
Pcos_v1_contig_10195,327,220,224,14.94961331,15.40184704
Pcos_v1_contig_10196,1320,413,552,6.952342381,9.402377564
Pcos_v1_contig_10197,280,15,6,1.190387229,0.48179885
Pcos_v1_contig_10198,1989,486,149,5.429458492,1.684317751
Pcos_v1_contig_10199,424,102,417,5.345512462,22.11274912
Pcos_v1_contig_102,869,5580,6253,142.6820872,161.786095
Pcos_v1_contig_1020,946,2121,12204,49.82009637,290.0571683
Pcos_v1_contig_10200,1093,848,736,17.23974039,15.14015052
Pcos_v1_contig_10201,339,24,5,1.573137105,0.331621628
Pcos_v1_contig_10202,2858,3123,4202,24.28090059,33.05722273
Pcos_v1_contig_10203,266,33,189,2.756686214,15.97543556
Pcos_v1_contig_10204,320,4177,944,290.0477682,66.32764173
Pcos_v1_contig_10205,2028,0,57,0,0.631945238
Pcos_v1_contig_10206,245,3,7,0.272088509,0.642398467
Pcos_v1_contig_10207,1576,489,562,6.894577808,8.017752442
Pcos_v1_contig_10208,4172,1499,3257,7.983849915,17.55278362
Pcos_v1_contig_10209,3568,1789,3076,11.14141948,19.38358155
Pcos_v1_contig_1021,2121,1786,1290,18.71094909,13.67481885
Pcos_v1_contig_10210,513,2364,1561,102.3965061,68.41606287
Pcos_v1_contig_10211,1299,915,339,15.65189674,5.86763496
Pcos_v1_contig_10212,731,100,301,3.03974851,9.258095556
Pcos_v1_contig_10213,2637,2494,1655,21.01557855,14.11108502
Pcos_v1_contig_10214,2321,969,1658,9.276916931,16.06134556
Pcos_v1_contig_10215,354,31,40,1.945868389,2.54055891
Pcos_v1_contig_10216,445,292,319,14.58068312,16.11770536
Pcos_v1_contig_10217,1080,1781,1477,36.64335206,30.74887848
Pcos_v1_contig_10218,333,4,1,0.266913653,0.067519358
Pcos_v1_contig_10219,1044,666,112,14.17518585,2.412070873
Pcos_v1_contig_1022,4135,1023,6289,5.497372315,34.19626085
Pcos_v1_contig_10220,940,2267,1891,53.5893757,45.23100271
Pcos_v1_contig_10221,811,2,0,0.054797932,0
Pcos_v1_contig_10222,2144,2764,1822,28.64628371,19.10715963
Pcos_v1_contig_10223,295,453,410,34.12174375,31.24887459
Pcos_v1_contig_10224,549,605,1737,24.48713984,71.13773189
Pcos_v1_contig_10225,1562,285,511,4.054327822,7.355503575
Pcos_v1_contig_10226,2404,1867,1532,17.25698358,14.3283718
Pcos_v1_contig_10227,2390,281,2389,2.612543017,22.47453884
Pcos_v1_contig_10228,1322,593,384,9.967316968,6.530889106
Pcos_v1_contig_10229,601,275,376,10.16747827,14.06649555
Pcos_v1_contig_1023,1165,23524,11153,448.6836834,215.2475997
Pcos_v1_contig_10230,2764,904,2548,7.267506401,20.72687963
Pcos_v1_contig_10231,404,152,108,8.360211297,6.010559915
Pcos_v1_contig_10232,1539,1126,1418,16.2575389,20.71620268
Pcos_v1_contig_10233,406,106,17,5.801427414,0.941446029
Pcos_v1_contig_10234,490,662,555,30.02043221,25.46651066
Pcos_v1_contig_10235,1960,40631,7055,460.6345095,80.93073546
Pcos_v1_contig_10236,625,1,0,0.035552899,0
Pcos_v1_contig_10237,577,1018,1044,39.20369448,40.68152511
Pcos_v1_contig_10238,1621,496,1426,6.799135445,19.77921499
Pcos_v1_contig_10239,317,1510,1069,105.8455774,75.82125756
Pcos_v1_contig_1024,2293,4432,5169,42.94876975,50.68448264
Pcos_v1_contig_10240,862,362,1110,9.331604758,28.95264553
Pcos_v1_contig_10241,807,1127,1635,31.03168888,45.55297681
Pcos_v1_contig_10242,764,279,677,8.114576817,19.92360167
Pcos_v1_contig_10243,303,123,680,9.020227979,50.45902151
Pcos_v1_contig_10244,905,2647,963,64.99207356,23.92490645
Pcos_v1_contig_10245,348,0,5,0,0.323045206
Pcos_v1_contig_10246,594,230,98,8.60392116,3.70947263
Pcos_v1_contig_10247,484,3,54,0.137730754,2.508539469
Pcos_v1_contig_10248,1753,861,994,10.91380693,12.74902605
Pcos_v1_contig_10249,206,9,4,0.970801235,0.436581483
Pcos_v1_contig_1025,1489,210,612,3.133860267,9.24121905
Pcos_v1_contig_10250,541,0,1,0,0.041559975
Pcos_v1_contig_10251,1780,11996,10353,149.7516051,130.7732003
Pcos_v1_contig_10252,1353,768,1132,12.61300171,18.81140227
Pcos_v1_contig_10253,1587,2258,2102,31.61564468,29.78024904
Pcos_v1_contig_10254,837,3240,1504,86.01507718,40.40126082
Pcos_v1_contig_10255,1302,787,575,13.43132257,9.929546199
Pcos_v1_contig_10256,1440,721,3824,11.12571175,59.70736864
Pcos_v1_contig_10257,2430,0,2,0,0.018505306
Pcos_v1_contig_10258,2222,2448,2230,24.48061873,22.56489665
Pcos_v1_contig_10259,1465,278,568,4.216598038,8.717325274
Pcos_v1_contig_1026,1080,1368,2197,28.1460447,45.73817605
Pcos_v1_contig_10260,454,0,36,0,1.782867993
Pcos_v1_contig_10261,1743,899,3759,11.46086339,48.48947466
Pcos_v1_contig_10262,2218,1801,2064,18.04293573,20.92284277
Pcos_v1_contig_10263,1879,664,914,7.852289998,10.93684245
Pcos_v1_contig_10264,1597,3102,447,43.16104076,6.29325236
Pcos_v1_contig_10265,1492,1857,2971,27.6565569,44.771987
Pcos_v1_contig_10266,1755,472,674,5.976128249,8.634860308
Pcos_v1_contig_10267,2826,720,1678,5.661289581,13.3503404
