Contig ID,Size,Hbet_ech1,Hbet_ech2,Hbet_ech3,HBET1 RPKM,HBET2 RPKM,HBET3 RPKM
Hbet_v1_contig_10114,3151,370,384,829,3.332816569,5.711623907,4.921868258
Hbet_v1_contig_10115,1729,199,535,266,8.462279768,3.339951179,14.92346101
Hbet_v1_contig_10116,1005,4664,847,1353,23.04867367,29.22706532,35.6913277
Hbet_v1_contig_10117,1523,2926,2071,1733,37.18851067,24.70313858,51.65969739
Hbet_v1_contig_10118,204,2,37,73,4.960210955,7.768660954,0.33343668
Hbet_v1_contig_10119,305,625,68,154,6.097301406,10.96161026,56.79574565
Hbet_v1_contig_1012,1239,935,4079,4508,90.03492133,78.9889019,75.98158081
Hbet_v1_contig_10120,302,24,1031,204,93.3641855,14.66481875,26.87808791
Hbet_v1_contig_10121,2613,235,192,662,2.0095111,5.500118609,4.902654904
Hbet_v1_contig_10122,250,400,99,174,10.82988329,15.10993914,22.5829995
Hbet_v1_contig_10123,1919,2953,2586,2628,36.85378826,29.73061284,33.74469559
Hbet_v1_contig_10124,1157,139,8,549,0.189097252,10.3013101,3.645036417
Hbet_v1_contig_10125,230,0,0,524,0,49.46032051,0.295743838
Hbet_v1_contig_10126,265,23,0,10,0,0.819233308,1.454538878
Hbet_v1_contig_10127,2171,2624,4718,1483,59.43287012,14.82978323,41.93223515
Hbet_v1_contig_10128,342,26,17,115,1.35941296,7.300039493,7.359006036
Hbet_v1_contig_10129,280,3,7,39,0.683704753,3.023848657,3.401054141
Hbet_v1_contig_1013,1727,3983,8285,10179,131.1984686,127.957649,28.92307382
Hbet_v1_contig_10130,1987,530,23,2924,0.316561838,31.94721294,8.603908144
Hbet_v1_contig_10131,931,2209,1704,2257,50.0551192,52.63024036,65.43954512
Hbet_v1_contig_10132,2282,294,930,1682,11.14540614,16.00161536,9.776912868
Hbet_v1_contig_10133,358,11,0,132,0,8.004687463,4.813409957
Hbet_v1_contig_10134,384,0,0,40,0,2.261425278,11.986354
Hbet_v1_contig_10135,523,2,20,48,1.04581989,1.992475656,3.42489837
Hbet_v1_contig_10136,1763,731,305,350,4.731252404,4.309919985,8.166645413
Hbet_v1_contig_10137,2035,230,273,749,3.668823541,7.990443399,25.16947192
Hbet_v1_contig_10138,717,845,102,520,3.890537508,15.74481867,11.89024972
Hbet_v1_contig_10139,388,12,42,198,2.960371096,11.07865249,2.337494255
Hbet_v1_contig_1014,857,29,137,155,4.371881036,3.926488697,7.275689527
Hbet_v1_contig_10140,1935,266,205,675,2.897353476,7.573145116,12.33870805
Hbet_v1_contig_10141,2192,1551,1365,2999,17.03023701,29.70225288,32.82099997
Hbet_v1_contig_10142,1002,1094,779,1056,21.26171668,22.87966556,41.70421012
Hbet_v1_contig_10143,970,142,95,103,2.678430992,2.305254964,1.682995864
Hbet_v1_contig_10144,1471,1374,602,1335,11.19212132,19.70253321,20.22290067
Hbet_v1_contig_10145,216,2,6,26,0.759671948,2.613202543,16.06053344
Hbet_v1_contig_10146,252,0,0,300,0,25.84486032,10.34712239
Hbet_v1_contig_10147,256,15,38,77,4.059496972,6.529865489,0.088569118
Hbet_v1_contig_10148,256,27,49,76,5.234614517,6.445062041,7.528375051
Hbet_v1_contig_10149,1121,1017,451,1185,11.00270629,22.94912931,24.0490834
Hbet_v1_contig_1015,1728,421,411,3371,6.504691055,42.35147006,8.975003983
Hbet_v1_contig_10150,1664,1580,430,2473,7.067140478,32.26445026,51.91512931
Hbet_v1_contig_10151,533,1561,1348,443,69.16577916,18.04388259,26.28957422
Hbet_v1_contig_10152,3071,1500,700,1928,6.233713152,13.62952399,15.11333513
Hbet_v1_contig_10153,936,546,591,593,17.26792774,13.75410451,15.98786135
Hbet_v1_contig_10154,1241,2445,4952,2728,109.1283139,47.72281572,92.33912236
Hbet_v1_contig_10155,976,21,47,188,1.316972271,4.181783137,1.277718427
Hbet_v1_contig_10156,818,2132,1235,1683,41.28974915,44.66674319,68.27054889
Hbet_v1_contig_10157,687,121,45,887,1.791366166,28.02982318,17.78911385
Hbet_v1_contig_10158,1941,2070,636,1019,8.961076209,11.39730378,16.87969512
Hbet_v1_contig_10159,3264,479,486,1521,4.072065074,10.11655249,5.196054937
Hbet_v1_contig_1016,1853,19741,6523,17556,96.27212316,205.685477,170.3402579
Hbet_v1_contig_10160,1867,988,1514,1535,22.17737539,17.84914992,24.70181797
Hbet_v1_contig_10161,1317,413,277,409,5.752049101,6.742035088,4.131880505
Hbet_v1_contig_10162,722,266,358,232,13.56045993,6.975964513,10.39472688
Hbet_v1_contig_10163,691,811,869,1148,34.39302058,36.06760593,40.62233504
Hbet_v1_contig_10164,486,8132,2310,4953,129.9883111,221.2511487,193.4728604
Hbet_v1_contig_10165,1510,442,375,1011,6.791769072,14.53542329,7.35768887
Hbet_v1_contig_10166,3317,936,1030,1300,8.492202542,8.508467732,8.756407104
Hbet_v1_contig_10167,3347,859,2043,1029,16.69326335,6.674413942,6.645621178
Hbet_v1_contig_10168,2542,10,17,474,0.182895056,4.048146964,0.080276652
Hbet_v1_contig_10169,203,12,5,26,0.673600742,2.780550489,3.574178407
Hbet_v1_contig_1017,1095,173,70,1144,1.748286127,22.68116618,52.13914354
Hbet_v1_contig_10170,217,3417,1026,2250,129.3052676,225.1003963,173.2395627
Hbet_v1_contig_10171,1074,8849,3753,2821,95.56588226,57.02329125,103.108308
Hbet_v1_contig_10172,223,17,16,20,1.962201982,1.947056741,1.525136386
Hbet_v1_contig_10173,2219,976,469,3369,5.780216841,32.9607575,33.09603233
Hbet_v1_contig_10174,368,12,143,760,10.62714997,44.8352142,0.0616133
Hbet_v1_contig_10175,421,190,2410,2072,156.5537725,106.8467042,16.10317004
Hbet_v1_contig_10176,2503,1927,1490,2536,16.27998533,21.99590701,24.44918132
Hbet_v1_contig_10177,338,398,393,883,31.79833941,56.71494022,38.63919497
Hbet_v1_contig_10178,2249,8022,7942,3916,96.57595642,37.80129716,50.36806429
Hbet_v1_contig_10179,355,631,302,232,23.2652209,14.18773628,53.58656196
Hbet_v1_contig_1018,891,109,1144,5399,35.1137256,131.5494688,70.94754167
Hbet_v1_contig_10180,269,45,71,211,7.218295536,17.02878454,0.842888263
Hbet_v1_contig_10181,587,0,5,55,0.232948809,2.034126996,0
Hbet_v1_contig_10182,718,0,2,62,0.076178803,1.874652264,0.505263382
Hbet_v1_contig_10183,470,5,4,27,0.232750554,1.247151983,0.627144735
Hbet_v1_contig_10184,958,520,439,720,12.53220821,16.3162542,70.57719866
Hbet_v1_contig_10185,638,98,54,145,2.314737095,4.934018788,5.899425156
Hbet_v1_contig_10186,3138,925,1625,2267,14.16214435,15.68382747,10.52758845
Hbet_v1_contig_10187,1681,540,646,1257,10.50977443,16.23383171,14.13565235
Hbet_v1_contig_10188,581,397,328,894,15.43925364,33.40526042,29.15189264
Hbet_v1_contig_10189,733,12,47,55,1.753567443,1.628966639,0.71145289
Hbet_v1_contig_1019,560,60,134,456,6.544031209,17.67788446,7.16650694
Hbet_v1_contig_10190,410,1148,880,962,58.69855442,50.9383286,48.61018845
Hbet_v1_contig_10191,998,1785,687,1877,18.82585833,40.83073584,29.58031056
Hbet_v1_contig_10192,280,33,34,75,3.320851658,5.815093571,7.1260182
Hbet_v1_contig_10193,1371,4799,4059,1158,80.96739878,18.33684356,71.16331616
Hbet_v1_contig_10194,221,3,1,21,0.123747467,2.062911023,1.84672623
Hbet_v1_contig_10195,234,20,22,24,2.571197362,2.22663412,2.422403234
Hbet_v1_contig_10196,1814,2260,2410,2379,36.33359328,28.47151878,41.91008649
Hbet_v1_contig_10197,525,300,213,599,11.09555142,24.76971413,18.74358727
Hbet_v1_contig_10198,285,1025,309,542,29.65119561,41.28648423,59.90628697
Hbet_v1_contig_10199,645,19,79,95,3.349623287,3.19755016,11.84656584
Hbet_v1_contig_102,5644,3844,5219,9103,25.28883846,35.01474864,30.77660734
Hbet_v1_contig_1020,3404,2262,2794,4070,22.44736875,25.95722927,29.54107935
Hbet_v1_contig_10200,1120,4222,3190,2369,77.89350581,45.91985557,61.90728311
Hbet_v1_contig_10201,1006,1142,1633,1446,44.39323507,31.20497131,51.95115835
Hbet_v1_contig_10202,1885,508,516,1695,7.486295017,19.52143879,44.78204975
Hbet_v1_contig_10203,335,681,579,350,47.26746891,22.68175801,48.73152202
Hbet_v1_contig_10204,394,2253,4615,1376,320.3347651,75.81858718,75.78998822
Hbet_v1_contig_10205,2371,401,331,797,3.817904231,7.297603157,8.950897444
Hbet_v1_contig_10206,1058,1500,904,1579,23.36745168,32.40036761,31.503148
Hbet_v1_contig_10207,1188,1986,795,702,18.30118784,12.82844885,31.47215644
Hbet_v1_contig_10208,1299,57,293,536,6.168606395,8.957959899,2.37384328
