Contig ID,Size,Phco_ech1,Phco_ech2,Phco_ech3,Phco_F1_RPKM,Phco_F2_RPKM,Phco_F3_RPKM
Phco_v1_contig_20030,992,303,111,63,4.648576174,4.457014786,4.629355918
Phco_v1_contig_20031,251,58,27,17,3.516764345,4.284723593,4.937042826
Phco_v1_contig_20032,279,72,43,0,3.927509903,6.138991337,0
Phco_v1_contig_20033,1429,476,838,257,5.069483566,23.35847889,13.10969504
Phco_v1_contig_20034,380,17,25,10,0.680854513,2.620530268,1.91826277
Phco_v1_contig_20035,509,37,23,6,1.106300063,1.799876978,0.859261123
Phco_v1_contig_20036,832,113,151,110,2.067017306,7.229135902,9.637425934
Phco_v1_contig_20037,735,493,349,154,10.20818603,18.91345437,15.27302548
Phco_v1_contig_20038,709,342,112,84,7.341230604,6.292229517,8.636240847
Phco_v1_contig_20039,273,306,90,53,17.05877241,13.13144837,14.15157955
Phco_v1_contig_2004,360,4477,2172,1133,189.2664295,240.3200957,229.4135702
Phco_v1_contig_20040,2339,972,587,245,6.324483133,9.996331449,7.635325518
Phco_v1_contig_20041,1069,252,126,134,3.587664565,4.694892019,9.137319011
Phco_v1_contig_20042,1176,99,41,14,1.281199818,1.388702774,0.867785539
Phco_v1_contig_20043,244,13,8,11,0.810853735,1.305969183,3.286204253
Phco_v1_contig_20044,525,116,127,47,3.362696574,9.635565007,6.525747251
Phco_v1_contig_20045,1005,434,172,82,6.572228636,6.817029186,5.947568946
Phco_v1_contig_20046,2576,581,293,156,3.432568947,4.530587578,4.414387305
Phco_v1_contig_20047,299,61,16,8,3.104900178,2.131481475,1.950340742
Phco_v1_contig_20048,388,28,5,15,1.09828563,0.513299743,2.81806644
Phco_v1_contig_20049,303,9,29,2,0.452052501,3.812309379,0.481148417
Phco_v1_contig_2005,883,1900,628,297,32.74778217,28.32903026,24.51813547
Phco_v1_contig_20050,235,11,4,4,0.712383445,0.677992512,1.240748685
Phco_v1_contig_20051,1817,615,402,172,5.151209156,8.812596669,6.900256171
Phco_v1_contig_20052,402,138,195,78,5.224467464,19.32152167,14.14360908
Phco_v1_contig_20053,533,820,529,240,23.41400134,39.53313279,32.82280762
Phco_v1_contig_20054,299,491,255,95,24.99190143,33.97048601,23.16029632
Phco_v1_contig_20055,571,57,25,14,1.519244746,1.743960598,1.787243071
Phco_v1_contig_20056,203,12,6,11,0.899651283,1.177302268,3.949920383
Phco_v1_contig_20057,468,308,150,79,10.01598946,12.76668592,12.30475392
Phco_v1_contig_20058,269,281,118,72,15.89801987,17.47279958,19.51065776
Phco_v1_contig_20059,234,15,11,4,0.975583389,1.872447268,1.24605103
Phco_v1_contig_2006,378,2756,1471,495,110.962545,155.0078316,95.45640925
Phco_v1_contig_20060,400,350,111,31,13.31671326,11.05339667,5.649283857
Phco_v1_contig_20061,331,77,67,18,3.540395067,8.062682854,3.964023367
Phco_v1_contig_20062,323,268,112,41,12.62761311,13.811736,9.252796889
Phco_v1_contig_20063,1074,529,402,151,7.496186556,14.90920684,10.24859569
Phco_v1_contig_20064,1002,1200,657,568,18.22646811,26.11742861,41.32114134
Phco_v1_contig_20065,208,188,100,60,13.75572579,19.15002888,21.02711113
Phco_v1_contig_20066,261,31,13,6,1.807632671,1.983972341,1.675723799
