Contig ID,Size,Pgra_ech1,Pgra_ech2,Pgra_ENV_F1_RPKM,Pgra_ENV_F2_RPKM
Pgra_v1_contig_10260,655,526,314,15.88540189,10.49541115
Pgra_v1_contig_10261,1549,476,1049,6.078680225,14.82638178
Pgra_v1_contig_10262,1661,672,859,8.003010803,11.32229953
Pgra_v1_contig_10263,1509,4438,3508,58.17706676,50.89574237
Pgra_v1_contig_10264,2544,2384,2679,18.53714754,23.05508433
Pgra_v1_contig_10265,1566,599,1544,7.566391821,21.58572534
Pgra_v1_contig_10266,2262,1134,1252,9.916860784,12.11777367
Pgra_v1_contig_10267,984,734,606,14.75552696,13.48306519
Pgra_v1_contig_10268,2236,467,710,4.131415208,6.951806224
Pgra_v1_contig_10269,288,105,41,7.211914575,3.116753655
Pgra_v1_contig_1027,2761,2175,2930,15.58284021,23.23337607
Pgra_v1_contig_10270,2333,1127,528,9.55570953,4.954847499
Pgra_v1_contig_10271,2084,721,865,6.843705501,9.087187755
Pgra_v1_contig_10272,1188,520,574,8.658460211,10.57807301
Pgra_v1_contig_10273,955,3514,2852,72.78671983,65.38185801
Pgra_v1_contig_10274,790,5033,4850,126.0240991,134.4081971
Pgra_v1_contig_10275,2672,1391,2750,10.29779966,22.53239462
Pgra_v1_contig_10276,295,849,531,56.92977099,39.40792914
Pgra_v1_contig_10277,2008,1340,1213,13.2006359,13.22538127
Pgra_v1_contig_10278,1584,353,1270,4.408321809,17.55333544
Pgra_v1_contig_10279,2032,1046,38,10.18267174,0.409421836
Pgra_v1_contig_1028,350,80,26,4.521428893,1.62635898
Pgra_v1_contig_10280,2234,929,1085,8.225954591,10.63304564
Pgra_v1_contig_10281,2971,2125,1986,14.14848847,14.63483064
Pgra_v1_contig_10282,3262,1423,3286,8.629282878,22.05437277
Pgra_v1_contig_10283,387,2466,1440,126.0479741,81.46341942
Pgra_v1_contig_10284,1207,73,0,1.196380574,0
Pgra_v1_contig_10285,1717,2106,11,24.26285117,0.140259891
Pgra_v1_contig_10286,460,101,56,4.343274765,2.66527057
Pgra_v1_contig_10287,1115,104,71,1.845067396,1.394102127
Pgra_v1_contig_10288,265,504,50,37.62170079,4.130810183
Pgra_v1_contig_10289,1298,916,520,13.95965045,8.770811143
Pgra_v1_contig_1029,1763,789,988,8.852755167,12.26918573
Pgra_v1_contig_10290,1456,285,95,3.87201693,1.428477285
Pgra_v1_contig_10291,839,1605,1288,37.8413689,33.609729
Pgra_v1_contig_10292,791,63,171,1.5754979,4.732937128
Pgra_v1_contig_10293,1734,2518,2029,28.72502367,25.61793164
Pgra_v1_contig_10294,1762,803,755,9.01495169,9.381065236
Pgra_v1_contig_10295,2362,519,72,4.346515444,0.667365438
Pgra_v1_contig_10296,1282,935,273,14.42704373,4.662144503
Pgra_v1_contig_10297,1156,2219,1491,37.97110456,28.2378039
Pgra_v1_contig_10298,2266,839,372,7.324126182,3.59413299
Pgra_v1_contig_10299,462,1265,1155,54.16295028,54.73323492
