Contig ID,Size,Gpru_ech1,Gpru_ech2,Gpru_ech3,Gpru_ENV_F1_RPKM,Gpru_ENV_F2_RPKM,Gpru_ENV_F3_RPKM
Gpru_v1_contig_10182,328,57,129,70,3.667413502,7.269270717,4.015497896
Gpru_v1_contig_10183,2449,1112,2034,1755,9.582412664,15.35101654,13.48352802
Gpru_v1_contig_10184,2261,996,1003,1315,9.296460828,8.199273003,10.94310073
Gpru_v1_contig_10185,4193,2046,2119,2072,10.29768575,9.340735417,9.297797752
Gpru_v1_contig_10186,1848,1101,1458,1451,12.57315356,14.58245125,14.77340664
Gpru_v1_contig_10187,1016,270,406,533,5.608270129,7.385965962,9.870717157
Gpru_v1_contig_10188,1253,240,945,421,4.042211547,13.93977339,6.321879757
Gpru_v1_contig_10189,731,87,313,151,2.511659387,7.914107349,3.886644124
Gpru_v1_contig_1019,1411,2180,2951,2282,32.60531103,38.65602309,30.43013175
Gpru_v1_contig_10190,1473,1884,3000,3968,26.99212144,37.64380232,50.68554528
Gpru_v1_contig_10191,476,209,648,548,9.266125991,25.16187667,21.66151422
Gpru_v1_contig_10192,2519,1127,1367,1504,9.441796072,10.03033235,11.23401179
Gpru_v1_contig_10193,2009,464,711,578,4.87412779,6.541308628,5.413312616
Gpru_v1_contig_10194,600,1983,3036,3212,69.74777075,93.52452111,100.7255141
Gpru_v1_contig_10195,1283,113,292,340,1.858705802,4.206599553,4.986174428
Gpru_v1_contig_10196,1183,2406,1730,1423,42.92099151,27.02939561,22.63264763
Gpru_v1_contig_10197,777,1446,2381,2424,39.27409097,56.63870994,58.69847294
Gpru_v1_contig_10198,593,625,572,957,22.24253034,17.82856184,30.36494164
Gpru_v1_contig_10199,3351,1127,1547,1434,7.097548286,8.532786164,8.051743473
Gpru_v1_contig_102,755,158166,45511,123612,4421.04614,1114.151894,3080.554439
Gpru_v1_contig_1020,2149,105,1973,508,1.031126032,16.96936714,4.447771864
Gpru_v1_contig_10200,341,91,441,8,5.63178259,23.9033729,0.441418788
Gpru_v1_contig_10201,1091,584,580,1802,11.29657953,9.82603302,31.07744042
Gpru_v1_contig_10202,986,1024,1448,1384,21.91704046,27.14354853,26.41036368
Gpru_v1_contig_10203,516,289,485,273,11.8197151,17.37268772,9.954699436
Gpru_v1_contig_10204,308,84,115,103,5.755558032,6.901160059,6.292188355
Gpru_v1_contig_10205,2299,1082,1601,1189,9.9322389,12.87144594,9.731013829
Gpru_v1_contig_10206,542,366,283,259,14.25084664,9.650773549,8.991159127
Gpru_v1_contig_10207,860,2043,2234,1618,50.13358746,48.01309407,35.39934876
Gpru_v1_contig_10208,822,566,706,533,14.53126695,15.87478528,12.20030247
Gpru_v1_contig_10209,1669,549,929,2290,6.941844408,10.2880805,25.81632098
Gpru_v1_contig_1021,1555,815,1812,1777,11.06078837,21.53787124,21.50167241
Gpru_v1_contig_10210,2785,10435,13235,31019,79.07261863,87.83623711,209.5645406
Gpru_v1_contig_10211,878,423,2088,354,10.16727848,43.95527026,7.586194138
Gpru_v1_contig_10212,412,387,461,169,19.82314769,20.68134053,7.717998592
Gpru_v1_contig_10213,386,27,72,161,1.476166438,3.447626165,7.847905733
Gpru_v1_contig_10214,209,40,69,37,4.038988092,6.102078368,3.33096941
Gpru_v1_contig_10215,270,136,272,564,10.63001829,18.62001884,39.30343846
Gpru_v1_contig_10216,898,258,329,332,6.063204786,6.771650538,6.956278379
Gpru_v1_contig_10217,1399,862,1108,899,13.0031454,14.638515,12.09085975
Gpru_v1_contig_10218,864,716,1258,1136,17.48872494,26.91174598,24.7388664
Gpru_v1_contig_10219,243,75,79,195,6.5134916,6.008911309,15.09883865
Gpru_v1_contig_1022,3767,3278,5214,4227,18.36420773,25.58293591,21.1130917
Gpru_v1_contig_10220,262,11,18,17,0.886033743,1.269831774,1.220851487
Gpru_v1_contig_10221,1050,1814,4789,882,36.45917618,84.3005706,15.80499972
Gpru_v1_contig_10222,3548,945,1698,4065,5.620915609,8.845635734,21.55718979
Gpru_v1_contig_10223,669,312,234,197,9.842090266,6.464943234,5.540581082
Gpru_v1_contig_10224,704,1136,2002,2289,34.05371835,52.56133536,61.17702306
Gpru_v1_contig_10225,1243,225,240,81,3.82006064,3.568741485,1.226109046
Gpru_v1_contig_10226,225,5,9,10,0.468971395,0.739324278,0.836243371
Gpru_v1_contig_10227,484,411,269,2828,17.92071478,10.27263588,109.9383589
Gpru_v1_contig_10228,3861,760,1139,1106,4.154058978,5.452540483,5.389773711
Gpru_v1_contig_10229,2932,1870,4172,4135,13.45973496,26.29997345,26.53546817
Gpru_v1_contig_1023,821,6393,4580,3606,164.3313469,103.1091715,82.64142015
Gpru_v1_contig_10230,3713,396,1094,841,2.250759564,5.445870992,4.261733153
Gpru_v1_contig_10231,1321,1411,1305,253,22.54151305,18.25923888,3.603569562
Gpru_v1_contig_10232,320,12,34,13,0.791389229,1.963830112,0.764378707
Gpru_v1_contig_10233,260,70,1124,220,5.681768826,79.90389308,15.92078726
Gpru_v1_contig_10234,841,1687,2425,1238,42.33289354,53.29552239,27.69745435
Gpru_v1_contig_10235,2252,817,1430,1400,7.656187097,11.73660876,11.69700986
Gpru_v1_contig_10236,366,116,111,132,6.688608423,5.605532432,6.785909325
Gpru_v1_contig_10237,695,935,1504,1858,28.39132583,39.9979753,50.30094121
Gpru_v1_contig_10238,2062,398,1205,1105,4.073364543,10.80123369,10.08297809
Gpru_v1_contig_10239,2315,425,787,561,3.87433172,6.283457953,4.559603437
Gpru_v1_contig_1024,290,107,2217,150,7.786542303,141.3001658,9.732142685
Gpru_v1_contig_10240,246,265,370,506,22.73367434,27.79979499,38.70175115
Gpru_v1_contig_10241,640,3,221,649,0.098923654,6.382447865,19.08006849
Gpru_v1_contig_10242,659,93,445,85,2.978217434,12.48100544,2.426882318
Gpru_v1_contig_10243,492,0,50,0,0,1.878364526,0
Gpru_v1_contig_10244,1042,161,243,288,3.260746409,4.310359872,5.200438625
Gpru_v1_contig_10245,425,172,141,87,8.540796703,6.132042538,3.851638587
Gpru_v1_contig_10246,261,20,88,25,1.617142742,6.231852148,1.802248645
Gpru_v1_contig_10247,374,27,72,11,1.523530067,3.558245186,0.553396349
Gpru_v1_contig_10248,1522,2534,2869,2154,35.13587923,34.8410209,26.6284724
Gpru_v1_contig_10249,1816,101,280,1095,1.173719709,2.849818251,11.34523462
Gpru_v1_contig_1025,290,212,1471,43,15.42754176,93.75396658,2.789880903
Gpru_v1_contig_10250,204,1042,584,362,107.7944545,52.91242379,33.38824637
Gpru_v1_contig_10251,204,0,1086,115,0,98.39536341,10.60676335
