Contig ID,Size,Hkan_ech1,Hkan_ech2,Hkan_ech3,Hkan_ENV_F1_RPKM,Hkan_ENV_F2_RPKM,Hkan_ENV_F3_RPKM
Hkan_v1_contig_10144,619,10,29,19,0.91007674,0.786569034,0.028534494
Hkan_v1_contig_10145,3433,4259,3562,3119,20.15537011,23.28174157,10.43409928
Hkan_v1_contig_10146,294,419,798,564,52.72617013,49.15929731,4.325596283
Hkan_v1_contig_10147,3094,1957,1799,1683,11.29487736,13.93919519,8.477483666
Hkan_v1_contig_10148,1863,1657,1416,977,14.76457887,13.43864871,2.512429224
Hkan_v1_contig_10149,1224,885,933,822,14.80713008,17.20934308,11.14029522
Hkan_v1_contig_1015,1673,67671,39315,27234,456.4918253,417.1472501,1281.839481
Hkan_v1_contig_10150,1015,2522,2020,1893,38.65947865,47.79235867,60.62795526
Hkan_v1_contig_10151,1165,691,914,606,15.24020947,13.32970664,15.97995319
Hkan_v1_contig_10152,628,1265,2337,1438,72.28858676,58.67770712,76.92340578
Hkan_v1_contig_10153,3399,2235,1613,1447,9.218364333,10.90915869,7.082808644
Hkan_v1_contig_10154,247,417,268,133,21.07698597,13.79839523,10.22586139
Hkan_v1_contig_10155,468,890,1190,259,49.39372438,14.18168399,77.10514016
Hkan_v1_contig_10156,389,120,638,25,31.85970448,1.646888891,1.543796788
Hkan_v1_contig_10157,276,97,149,61,10.48691752,5.66362703,0
Hkan_v1_contig_10158,1224,451,826,545,13.1089919,11.41008756,6.262808453
Hkan_v1_contig_10159,2904,3803,3228,1909,21.59273127,16.84547297,13.3809481
Hkan_v1_contig_1016,786,1083,5508,5998,136.1263034,195.5499946,18.96621712
Hkan_v1_contig_10160,3211,981,964,695,5.831864087,5.546492012,1.804240202
Hkan_v1_contig_10161,1224,1008,836,925,13.26769641,19.36574495,7.013191033
Hkan_v1_contig_10162,848,1125,1597,1167,36.58303475,35.26540669,50.30163485
Hkan_v1_contig_10163,1391,574,738,617,10.3062316,11.36663533,4.228418078
Hkan_v1_contig_10164,2842,2248,2502,2261,17.1014879,20.38686193,12.4174445
Hkan_v1_contig_10165,2452,2738,2053,1725,16.26444129,18.02779149,6.2525918
Hkan_v1_contig_10166,1369,498,455,478,6.456224362,8.947430657,3.212600454
Hkan_v1_contig_10167,2060,922,916,862,8.637715966,10.72294154,7.519573183
Hkan_v1_contig_10168,2573,7186,6997,3973,52.82539503,39.56878105,36.6986413
Hkan_v1_contig_10169,311,1667,1102,2,68.83223497,0.164794798,171.5170788
Hkan_v1_contig_1017,380,183,735,2078,37.57287332,140.1315221,3.393126734
Hkan_v1_contig_10170,767,4786,2074,3781,52.52717615,126.3238072,0.829025624
Hkan_v1_contig_10171,404,0,396,284,19.0407691,18.01402942,19.54280846
Hkan_v1_contig_10172,753,1547,846,551,21.82458793,18.75126258,9.664136539
Hkan_v1_contig_10173,202,42,46,42,4.423613023,5.328093209,0.874398589
Hkan_v1_contig_10174,3090,1382,1456,1752,9.153212843,14.52946139,5.613242771
Hkan_v1_contig_10175,340,2471,1530,980,87.41443996,73.86199802,203.5383886
Hkan_v1_contig_10176,1024,603,1967,1539,37.31428025,38.5134617,12.07421489
Hkan_v1_contig_10177,519,778,583,696,21.82085999,34.36495461,18.3094684
Hkan_v1_contig_10178,752,2032,1397,134,36.08687134,4.566262253,7.42215568
Hkan_v1_contig_10179,267,190,656,757,47.72690188,72.65382959,21.03665458
Hkan_v1_contig_1018,953,247,325,65,6.624622359,1.747810519,2.631820474
Hkan_v1_contig_10180,329,618,576,572,34.00926539,44.55269951,27.05798526
Hkan_v1_contig_10181,578,665,617,312,20.73614358,13.83249903,3.972613657
Hkan_v1_contig_10182,372,171,530,0,27.67601743,0,16.90315895
Hkan_v1_contig_10183,372,363,466,732,24.33400778,50.42455033,7.122117537
Hkan_v1_contig_10184,682,83,1386,908,39.47748901,34.11735596,7.32930641
Hkan_v1_contig_10185,682,5635,2297,1506,65.42553555,56.58671594,36.98321397
Hkan_v1_contig_10186,1633,3116,2565,1764,30.51208253,27.68128768,45.79578274
Hkan_v1_contig_10187,4846,3672,2730,2920,10.94334026,15.44092574,8.652829022
Hkan_v1_contig_10188,4093,1895,1406,1463,6.672894241,9.15959928,7.357723379
Hkan_v1_contig_10189,216,404,320,648,28.77841645,76.87677345,34.58975084
Hkan_v1_contig_1019,1460,1647,1735,1247,23.0843308,21.88706313,17.60236227
Hkan_v1_contig_10190,2291,2683,2167,1392,18.37403282,15.56997943,18.06375427
Hkan_v1_contig_10191,280,686,1003,707,69.58466927,64.70461765,31.98237752
Hkan_v1_contig_10192,1585,2441,2005,1371,24.57286395,22.16573216,22.15378471
Hkan_v1_contig_10193,431,62,152,4,6.850732082,0.237824512,5.491466589
Hkan_v1_contig_10194,241,372,557,329,44.89612085,34.98265348,20.88760446
Hkan_v1_contig_10195,265,52,88,22,6.450709196,2.127407567,2.799395331
Hkan_v1_contig_10196,379,434,436,157,22.34693393,10.61535042,11.18491915
Hkan_v1_contig_10197,2410,1995,1994,2034,16.07232764,21.62757361,12.31269316
Hkan_v1_contig_10198,3913,2221,2371,2088,11.77043116,13.67396737,10.73854426
Hkan_v1_contig_10199,670,372,382,459,11.07539505,17.5554423,109.0615173
Hkan_v1_contig_102,646,301,342,500,10.28405176,19.83404888,0.136709377
Hkan_v1_contig_1020,355,95,31,75,1.696305251,5.413857285,0.646808646
Hkan_v1_contig_10200,434,16,54,43,2.416989123,2.538941059,3.25582516
Hkan_v1_contig_10201,569,1906,4966,5850,169.5372423,263.4617016,104.2077196
Hkan_v1_contig_10202,3663,1021,967,576,5.12814411,4.029576987,3.486279451
Hkan_v1_contig_10203,451,234,275,430,11.84477506,24.43238181,0
Hkan_v1_contig_10204,446,187,213,214,9.277167769,12.29568723,4.950350754
Hkan_v1_contig_10205,530,136,147,104,5.387808249,5.028417886,1.966241958
Hkan_v1_contig_10206,1408,334,722,408,9.961052028,7.425597436,7.627140416
Hkan_v1_contig_10207,458,69,34,0,1.442062571,0,0.385651779
Hkan_v1_contig_10208,3685,3275,2592,3189,13.66369536,22.17639354,6.322198403
Hkan_v1_contig_10209,1233,263,1043,987,16.43205567,20.51294279,0.744905335
Hkan_v1_contig_1021,2499,752,677,774,5.262511747,7.936857763,2.028506754
Hkan_v1_contig_10210,728,1225,2043,1256,54.51395019,44.21118473,31.97752509
Hkan_v1_contig_10211,859,719,785,177,17.75199466,5.280244044,0.555176939
Hkan_v1_contig_10212,1432,426,295,341,4.001747329,6.102183368,3.108267162
Hkan_v1_contig_10213,550,187,240,94,8.476551754,4.379646488,3.018741891
Hkan_v1_contig_10214,455,913,537,446,22.92627803,25.11871133,17.85694876
Hkan_v1_contig_10215,1665,1003,891,966,10.3952307,14.86746009,6.06795859
Hkan_v1_contig_10216,1183,4946,4622,2140,75.89547131,46.3556763,83.28265902
Hkan_v1_contig_10217,2040,774,844,621,8.036796005,7.800731424,10.96135784
Hkan_v1_contig_10218,892,532,709,146,15.44016889,4.194323215,13.02932318
Hkan_v1_contig_10219,336,167,183,93,10.5799223,7.092797551,5.519641091
Hkan_v1_contig_1022,865,1030,1681,1175,37.75046206,34.80932902,37.7352018
Hkan_v1_contig_10220,1161,1794,2317,1762,38.76720402,38.89086271,48.31801579
Hkan_v1_contig_10221,1621,849,845,641,10.12615008,10.1332535,7.812624626
Hkan_v1_contig_10222,2172,1956,2304,1289,20.60598216,15.2078209,14.92234461
Hkan_v1_contig_10223,1222,1042,1309,986,20.80842006,20.67662265,17.15695967
Hkan_v1_contig_10224,465,195,408,77,17.04424923,4.243377459,3.114739403
Hkan_v1_contig_10225,3167,2235,2217,1933,13.59841514,15.64075393,5.052902889
Hkan_v1_contig_10226,496,0,371,4,14.52990915,0.206657993,7.015285774
Hkan_v1_contig_10227,512,427,527,432,19.99453553,21.62159253,29.18510227
Hkan_v1_contig_10228,1012,275,328,318,6.295989527,8.052310263,15.79533656
Hkan_v1_contig_10229,1543,373,442,284,5.564511048,4.716570244,5.448812255
Hkan_v1_contig_1023,548,485,629,538,22.29670833,25.15797087,25.97857354
Hkan_v1_contig_10230,1166,4069,3097,2647,51.59567764,58.17404783,159.9805957
Hkan_v1_contig_10231,1509,1013,853,437,10.98071089,7.421062513,14.6897804
Hkan_v1_contig_10232,407,3116,3701,2041,176.6425565,128.5057286,898.9827239
Hkan_v1_contig_10233,1388,335,685,944,9.586758145,17.42835594,6.451776445
Hkan_v1_contig_10234,435,1287,1069,694,47.73743873,40.88312703,52.09526083
Hkan_v1_contig_10235,692,220,562,318,15.77614491,11.77592194,4.185993706
Hkan_v1_contig_10236,454,45,457,123,19.55379298,6.942616105,4.04611576
Hkan_v1_contig_10237,606,139,171,223,5.481433529,9.429879252,2.652342386
Hkan_v1_contig_10238,906,728,1165,370,24.97861726,10.46519727,14.91399712
Hkan_v1_contig_10239,1804,644,980,558,10.55261778,7.926319214,2.23233378
Hkan_v1_contig_1024,827,4363,6634,6102,155.8262514,189.0778201,58.37070511
Hkan_v1_contig_10240,1335,501,365,296,5.311072923,5.681779012,0.780605422
Hkan_v1_contig_10241,972,43,354,105,7.074694043,2.768196575,8.104559429
Hkan_v1_contig_10242,1016,939,978,831,18.69888939,20.95951402,3.650786233
Hkan_v1_contig_10243,2098,428,421,292,3.898048853,3.566574173,0.176796893
Hkan_v1_contig_10244,363,27,481,17,25.74003405,1.200096555,0.535237924
Hkan_v1_contig_10245,313,394,266,109,16.50851333,8.923927909,8.013178632
Hkan_v1_contig_10246,2500,4908,993,1826,7.715781234,18.71693178,0.678253497
Hkan_v1_contig_10247,1729,874,1124,970,12.62821548,14.37641609,17.19293179
Hkan_v1_contig_10248,249,382,731,383,57.02807283,39.41606992,30.7858536
Hkan_v1_contig_10249,1235,459,637,376,10.01943288,7.801799411,4.147552172
Hkan_v1_contig_1025,1586,2666,4930,4552,60.38296049,73.54835493,29.81302235
Hkan_v1_contig_10250,483,39,99,173,3.981610102,9.178524366,1.133640572
Hkan_v1_contig_10251,3206,851,865,786,5.241109764,6.282506127,1.807054051
Hkan_v1_contig_10252,1922,883,968,776,9.783463739,10.34623243,7.747025914
Hkan_v1_contig_10253,1505,755,727,476,9.38358034,8.104838131,2.992709057
Hkan_v1_contig_10254,2529,3015,2501,2670,19.21036109,27.05430145,7.417140484
Hkan_v1_contig_10255,1218,731,473,575,7.543701898,12.09746709,8.483389263
Hkan_v1_contig_10256,578,750,1641,1449,55.15074816,64.24131761,35.93687431
Hkan_v1_contig_10257,780,725,844,594,21.01931263,19.51487326,23.86749419
Hkan_v1_contig_10258,1591,1135,1197,949,14.61485923,15.28515776,3.030772129
Hkan_v1_contig_10259,389,0,280,220,13.98231545,14.49262224,0.454057879
Hkan_v1_contig_1026,846,1065,1826,962,41.92770354,29.13926559,37.70580354
Hkan_v1_contig_10260,1144,1198,1113,911,18.89904267,20.40639295,10.71505152
Hkan_v1_contig_10261,839,468,705,357,16.32291886,10.90385702,10.65244679
Hkan_v1_contig_10262,240,102,66,46,5.341993553,4.911571637,1.471904291
Hkan_v1_contig_10263,2119,2029,353,586,3.236043973,7.086642951,9.31905048
Hkan_v1_contig_10264,2208,1434,1286,1167,11.31390598,13.54396054,5.55963849
Hkan_v1_contig_10265,332,19,10,20,0.585103346,1.54371031,0.15960408
Hkan_v1_contig_10266,338,1779,2822,1723,162.1851082,130.6298626,176.7852858
Hkan_v1_contig_10267,277,73,67,78,4.698569978,7.215870432,1.40282575
Hkan_v1_contig_10268,469,10,17,15,0.704120104,0.819581807,0.037660664
Hkan_v1_contig_10269,482,311,207,179,8.342456926,9.516557709,2.528499487
Hkan_v1_contig_1027,1496,1893,1935,1592,25.12580828,27.27001411,19.07965776
Hkan_v1_contig_10270,2099,1293,1044,1091,9.661815184,13.31944733,7.438761657
Hkan_v1_contig_10271,2027,1480,1799,1571,17.24042948,19.8607813,14.71759061
Hkan_v1_contig_10272,3428,961,760,940,4.306688342,7.026854049,1.246910753
Hkan_v1_contig_10273,271,258,254,176,18.20686162,16.64245034,4.432007016
Hkan_v1_contig_10274,1806,4096,3800,2773,40.8730001,39.34649184,21.9171928
Hkan_v1_contig_10275,810,547,556,422,13.33399962,13.35061662,8.351693976
Hkan_v1_contig_10276,506,1082,1464,435,56.20322358,22.02990544,17.80247878
Hkan_v1_contig_10277,1070,2426,5315,3721,96.49174421,89.11478941,75.20743121
Hkan_v1_contig_10278,787,799,245,341,6.047307014,11.10333746,5.992352412
Hkan_v1_contig_10279,352,29,29,28,1.600390631,2.038399296,0.100357111
Hkan_v1_contig_1028,461,39,60,28,2.528255675,1.556435037,0.229885269
Hkan_v1_contig_10280,1848,1031,1420,1390,14.92646762,19.27466001,6.547106748
Hkan_v1_contig_10281,637,651,628,631,19.15097446,25.38421981,5.129713541
Hkan_v1_contig_10282,1532,3060,3685,2218,46.72500889,37.10023575,21.05245876
Hkan_v1_contig_10283,814,590,824,622,19.66407276,19.58122567,10.41544068
Hkan_v1_contig_10284,1129,1215,1503,1513,25.86042777,34.34146981,27.00272956
Hkan_v1_contig_10285,706,769,1080,844,29.71595693,30.63455939,16.98736
Hkan_v1_contig_10286,1204,1491,1677,1327,27.05685046,28.24348792,19.71667143
Hkan_v1_contig_10287,2923,2141,1832,1711,12.17495374,15.00013221,7.257298885
Hkan_v1_contig_10288,488,93,70,91,2.786434789,4.778542612,0.180971839
Hkan_v1_contig_10289,1863,2168,2314,1888,24.12799118,25.9694665,9.215400778
Hkan_v1_contig_1029,2034,2216,2247,1846,21.45965766,23.25705077,18.24466617
Hkan_v1_contig_10290,200,20,162,0,15.73459919,0,3.709198813
Hkan_v1_contig_10291,1235,2157,2987,2456,46.98280381,50.96068977,46.06643292
