Contig ID,Size,Grac_ech1,Grac_ech2,Grac_ech3,Grac10_F RPKM,Grac9_F RPKM,Grac8_F RPKM
Grac_v1_contig_10154,275,10,13,9,1.532810191,0.720212034,0.653923051
Grac_v1_contig_10155,4122,1298,3557,3519,13.27357103,13.14696762,17.058
Grac_v1_contig_10156,940,2,134,6,0.089685703,2.171834163,0.127538184
Grac_v1_contig_10157,332,315,620,598,39.99388036,28.45137902,35.98984125
Grac_v1_contig_10158,1844,172,257,257,3.931774514,2.123351641,2.784768113
Grac_v1_contig_10159,2718,1328,2754,2863,20.59537461,15.43704603,21.04692853
Grac_v1_contig_1016,1622,826,1865,1973,21.46595776,17.5177249,24.30485677
Grac_v1_contig_10160,568,29,104,66,2.152141069,2.789553654,2.321733836
Grac_v1_contig_10161,401,63,138,143,6.62242807,5.24305519,7.125387632
Grac_v1_contig_10162,2574,556,1778,1398,9.105154554,10.52380833,10.85214179
Grac_v1_contig_10163,1091,910,2737,1650,35.15909719,38.22079906,30.2187172
Grac_v1_contig_10164,2360,618,2160,2137,11.03818186,13.94413131,18.09294862
Grac_v1_contig_10165,447,185,425,632,17.4455746,14.48542102,28.25051608
Grac_v1_contig_10166,434,28,104,184,2.719501952,3.650844414,8.471199785
Grac_v1_contig_10167,282,104,96,57,15.5455218,5.186469642,4.038709148
Grac_v1_contig_10168,792,12,594,92,0.638670913,11.42644093,2.321023173
Grac_v1_contig_10169,3676,928,2889,2487,10.64127206,11.97351754,13.5181454
Grac_v1_contig_1017,1935,1407,4051,2757,30.6502627,31.89561565,28.46902721
Grac_v1_contig_10170,2389,188,593,438,3.317132142,3.781710323,3.663319448
Grac_v1_contig_10171,549,16,81,37,1.228481756,2.247824445,1.346623566
Grac_v1_contig_10172,2351,808,1706,1507,14.48704485,11.05544207,12.80788602
Grac_v1_contig_10173,939,89,376,174,3.99526405,6.100591821,3.702546204
Grac_v1_contig_10174,334,59,211,0,7.446061482,9.624666812,0
Grac_v1_contig_10175,1054,56,434,252,2.239589843,6.273340119,4.777236707
Grac_v1_contig_10176,1774,762,737,1214,18.10599637,6.329415232,13.67356949
Grac_v1_contig_10177,1202,80,496,515,2.805476223,6.286760623,8.560903313
Grac_v1_contig_10178,1779,1312,2269,2308,31.08701051,19.43158664,25.9224883
Grac_v1_contig_10179,3426,3770,4782,6955,46.38473338,21.26532031,40.56267674
Grac_v1_contig_1018,1913,2211,4671,4435,48.71860515,37.20014329,46.32287278
Grac_v1_contig_10180,2833,291,514,740,4.329796525,2.764179616,5.219176405
Grac_v1_contig_10181,1159,1030,5926,3003,37.46061144,77.89829043,51.77125906
Grac_v1_contig_10182,1081,757,2293,1618,29.51829431,32.31677959,29.90677987
Grac_v1_contig_10183,1874,341,770,705,7.670185468,6.259949852,7.516858261
Grac_v1_contig_10184,1137,1811,3937,3745,67.13964779,52.7539114,65.81246963
Grac_v1_contig_10185,432,17,98,91,1.658770288,3.456145714,4.208956878
Grac_v1_contig_10186,293,0,10,7,0,0.519974559,0.477361347
Grac_v1_contig_10187,358,1683,2190,4794,198.1628147,93.19890368,267.5665592
Grac_v1_contig_10188,369,80,65,85,9.138705746,2.68371693,4.602665254
Grac_v1_contig_10189,1334,282,810,610,8.910751898,9.250791758,9.136730946
Grac_v1_contig_1019,909,2389,4206,4235,110.7830556,70.49447826,93.09071419
Grac_v1_contig_10190,711,9750,4558,2985,578.0375984,97.6684815,83.88640165
Grac_v1_contig_10191,2355,1131,1817,4034,20.24383396,11.75475905,34.22644662
Grac_v1_contig_10192,431,93,192,407,9.095503628,6.786934752,18.86835201
Grac_v1_contig_10193,817,1179,1597,1562,60.82930039,29.78054046,38.2010943
Grac_v1_contig_10194,288,21,122,64,3.073603769,6.453823118,4.440218245
Grac_v1_contig_10195,1179,241,457,532,8.616369416,5.905437948,9.016015672
Grac_v1_contig_10196,1559,3370,5511,5491,91.11814269,53.85598971,70.3756079
Grac_v1_contig_10197,1894,96,640,946,2.136546412,5.148132485,9.97994143
Grac_v1_contig_10198,1657,1373,2113,2383,34.92762872,19.42793779,28.73547396
Grac_v1_contig_10199,2234,497,936,881,9.377655903,6.383257959,7.879697955
Grac_v1_contig_102,2748,1987,3727,3101,30.47910512,20.66295262,22.54768031
Grac_v1_contig_1020,230,0,7,4,0,0.463681661,0.347495341
Grac_v1_contig_10200,866,350,832,468,17.03614098,14.6371037,10.79803652
Grac_v1_contig_10201,1130,376,1019,645,14.02589148,13.73869417,11.40507385
Grac_v1_contig_10202,2054,344,699,494,7.059583451,5.184733665,4.805552657
Grac_v1_contig_10203,265,42,147,449,6.680738757,8.451254424,33.85456967
Grac_v1_contig_10204,2218,2742,6023,5930,52.11070895,41.37147804,53.42075016
Grac_v1_contig_10205,1594,410,524,469,10.84217999,5.0083271,5.878971522
Grac_v1_contig_10206,808,202,651,505,10.53807006,12.27493902,12.48811381
Grac_v1_contig_10207,687,43,119,53,2.63835233,2.63900334,1.541473146
Grac_v1_contig_10208,457,8,54,41,0.737895497,1.800227018,1.792604521
Grac_v1_contig_10209,1250,969,1980,1388,32.67644765,24.13264325,22.18688253
Grac_v1_contig_1021,1857,1675,2743,1713,38.021039,22.5042021,18.4315683
Grac_v1_contig_10210,510,62,91,74,5.124394855,2.718447385,2.899201324
Grac_v1_contig_10211,1684,695,665,346,17.39657647,6.016297085,4.10535618
Grac_v1_contig_10212,1838,2401,5144,4202,55.06399613,42.63881911,45.68013427
Grac_v1_contig_10213,231,41,66,108,7.481573552,4.352929878,9.341757866
Grac_v1_contig_10214,2114,431,3588,2552,8.593960639,25.85813312,24.120845
Grac_v1_contig_10215,4431,689,1772,1383,6.554484562,6.092726496,6.236447359
Grac_v1_contig_10216,1272,72,218,49,2.385978128,2.611073504,0.769707644
Grac_v1_contig_10217,2418,690,1772,1082,12.02856633,11.1649591,8.941035001
Grac_v1_contig_10218,3337,1614,3335,3361,20.38770762,15.22612347,20.1246871
Grac_v1_contig_10219,881,358,481,560,17.12884941,8.317999376,12.70073777
Grac_v1_contig_1022,1693,2,5931,4281,0.04979596,53.37288534,50.52485787
Grac_v1_contig_10220,413,0,24,13,0,0.88534167,0.628941325
Grac_v1_contig_10221,2464,410,904,847,7.013975205,5.589557685,6.868462597
Grac_v1_contig_10222,2809,550,1253,1561,8.25338346,6.795932354,11.10370703
Grac_v1_contig_10223,1166,159,386,463,5.748038217,5.043574842,7.934129256
Grac_v1_contig_10224,790,247,1338,600,13.17925724,25.80350711,15.17542944
Grac_v1_contig_10225,1756,2246,3641,3526,53.9145908,31.58972774,40.12126588
Grac_v1_contig_10226,1527,638,1563,933,17.61175822,15.59443543,12.20841932
Grac_v1_contig_10227,1129,161,297,210,6.01108691,4.007857049,3.716568859
Grac_v1_contig_10228,511,4,353,11,0.329959141,10.52454964,0.430118988
Grac_v1_contig_10229,388,385,334,612,41.82636056,13.11488409,31.51639445
Grac_v1_contig_1023,3560,1433,2595,3692,16.96747686,11.10547349,20.72184998
Grac_v1_contig_10230,1035,382,1438,894,15.5576532,21.16743582,17.25893526
Grac_v1_contig_10231,1148,582,1289,844,21.36988424,17.10648358,14.68985095
Grac_v1_contig_10232,411,52,70,9,5.333135215,2.594812215,0.437539754
Grac_v1_contig_10233,2561,453,767,737,7.456065192,4.56284274,5.750091296
Grac_v1_contig_10234,459,38,49,23,3.489731263,1.626421512,1.001225683
Grac_v1_contig_10235,2363,628,1518,1228,11.20255269,9.787184276,10.38368431
Grac_v1_contig_10236,936,327,1538,497,14.7262774,25.03399737,10.60955994
Grac_v1_contig_10237,976,41,129,113,1.770741281,2.013676066,2.313371903
Grac_v1_contig_10238,516,462,675,650,37.74099511,19.92983883,25.16984179
Grac_v1_contig_10239,757,104,316,279,5.791066244,6.359762808,7.364192875
Grac_v1_contig_1024,1164,1140,4285,1146,41.28316107,56.08510812,19.67199784
Grac_v1_contig_10240,754,161,431,483,9.000685837,8.708746315,12.79948853
Grac_v1_contig_10241,2984,1192,2064,2039,16.83831034,10.53805812,13.6532247
Grac_v1_contig_10242,1331,370,1001,694,11.71776386,11.45791873,10.41833327
Grac_v1_contig_10243,1078,255,638,435,9.971086702,9.016783319,8.062826729
Grac_v1_contig_10244,3272,756,1502,1638,9.739341037,6.9936896,10.00270436
Grac_v1_contig_10245,2652,342,551,689,5.435927544,3.165394144,5.191137507
Grac_v1_contig_10246,281,0,805,428,0,43.64548019,30.43366669
Grac_v1_contig_10247,281,614,682,385,92.10498248,36.97666769,27.37607868
Grac_v1_contig_10248,425,2,31,26,0.198363672,1.111277392,1.222365964
Grac_v1_contig_10249,1486,582,999,2025,16.50917033,10.2422741,27.22845811
Grac_v1_contig_1025,4017,1930,5110,4914,20.25240251,19.38066987,24.4427548
